"province","district","sector","cell","village","gid","lon","lat"
"Iburasirazuba","Ngoma","Rurenge","Rugese","Rugarika","E117S78",30.4749606618889,-2.08412479150721
"Iburengerazuba","Rutsiro","Rusebeya","Remera","Shyembe","E106S76",29.4481280577954,-1.90025336115953
"Iburasirazuba","Rwamagana","Rubona","Karambi","Byobo","E116S78",30.3713010786215,-2.02666761275747
"Iburengerazuba","Ngororero","Bwira","Kabarondo","Gitarama","E107S77",29.5854487451279,-1.94443995195716
"Iburasirazuba","Ngoma","Rukumberi","Rubona","Rugenda Ii","E116S80",30.3331966481157,-2.20449908617043
"Iburengerazuba","Rutsiro","Rusebeya","Mberi","Ruganda","E106S77",29.4728995141753,-1.92757349945397
"Amajyaruguru","Gakenke","Janja","Gashyamba","Burega","E108S74",29.6844123995206,-1.67006555196769
"Iburasirazuba","Kirehe","Gahara","Murehe","Nyombe","E118S81",30.5361273746987,-2.35318594601092
"Iburengerazuba","Karongi","Gishyita","Buhoro","Tura","E104S79",29.2614883896873,-2.11750449212632
"Iburasirazuba","Kirehe","Nyarubuye","Nyarutunga","Rutunga","E120S79",30.7498608071455,-2.1501361701905
"Iburengerazuba","Rubavu","Mudende","Micinyiro","Tetero","E105S73",29.360306202277,-1.61050663298845
"Amajyepfo","Nyamagabe","Musebeya","Nyarurambi","Nyarurambi","E106S81",29.4575877817017,-2.36538348757703
"Amajyaruguru","Gicumbi","Rushaki","Karurama","Ngabira","E113S71",30.0897254338935,-1.43952960356902
"Amajyepfo","Huye","Simbi","Nyangazi","Karebero","E108S83",29.6716331634556,-2.48925567709031
"Iburasirazuba","Gatsibo","Rwimbogo","Nyamatete","Gihunika","E117S73",30.4342269344073,-1.60780091484964
"Amajyepfo","Ruhango","Ruhango","Gikoma","Karama","E110S80",29.8243190532524,-2.22433123814347
"Amajyaruguru","Gicumbi","Bwisige","Nyabushingitwa","Musayo","E113S72",30.1077002380184,-1.52768782094003
"Amajyepfo","Nyanza","Mukingo","Cyerezo","Birambo","E108S81",29.6961310539675,-2.32469086769662
"Iburasirazuba","Rwamagana","Fumbwe","Sasabirago","Karambo","E115S76",30.2833565822537,-1.84530360676815
"Iburengerazuba","Nyamasheke","Rangiro","Gakenke","Ruhana","E103S82",29.1763424612303,-2.41480230725762
"Iburasirazuba","Rwamagana","Nyakaliro","Gatare","Kigina","E115S78",30.2587194306845,-2.05710549824276
"Iburasirazuba","Nyagatare","Tabagwe","Gishuro","Kaborogota","E114S69",30.1821550583583,-1.29389430109302
"Iburengerazuba","Rusizi","Giheke","Giheke","Rugombo","E100S83",28.9604108146521,-2.46939177118339
"Iburasirazuba","Bugesera","Rilima","Ntarama","Kamashya","E114S79",30.1687380301762,-2.15547501500103
"Amajyepfo","Nyamagabe","Kamegeri","Kamegeri","Sovu","E107S83",29.5478747396375,-2.51747419657418
"Iburasirazuba","Nyagatare","Musheri","Ntoma","Rutarama","E116S68",30.3939930137283,-1.16312764244721
"Amajyepfo","Muhanga","Rongi","Nyamirambo","Rugogwe","E109S75",29.7654727573974,-1.81302652822595
"Iburasirazuba","Bugesera","Juru","Juru","Bisagara","E114S78",30.2362411367222,-2.10200048554588
"Amajyepfo","Nyamagabe","Kitabi","Uwingugu","Gisarenda","E106S84",29.4601759239547,-2.56409942071426
"Iburasirazuba","Rwamagana","Munyaga","Rweru","Gatare","E117S78",30.4388710112962,-2.02736147188978
"Amajyepfo","Nyamagabe","Cyanika","Karama","Karama","E107S82",29.6040016777959,-2.43219439240719
"Iburasirazuba","Nyagatare","Musheri","Ntoma","Rukundo","E116S68",30.4007554701002,-1.15869201634302
"Iburengerazuba","Ngororero","Kabaya","Ngoma","Nyamugeyo","E107S75",29.5336160169688,-1.79272494216962
"Iburengerazuba","Rusizi","Nkombo","Rwenje","Nyabintare","E100S82",28.9197958813274,-2.39450858905114
"Iburasirazuba","Kirehe","Nyamugari","Kagasa","Mataba","E120S81",30.7794322452336,-2.35116903355471
"Iburasirazuba","Nyagatare","Rwempasha","Kazaza","Rukiri","E115S68",30.3241872285008,-1.15109169247752
"Amajyepfo","Nyaruguru","Muganza","Samiyonga","Bigugu","E106S85",29.4378864153696,-2.67228847464793
"Iburasirazuba","Bugesera","Rilima","Kabeza","Karirisi","E114S79",30.1800260250496,-2.18040646194269
"Amajyaruguru","Gicumbi","Muko","Rebero","Mayogi","E114S74",30.2157640355799,-1.70024003796966
"Amajyepfo","Muhanga","Nyabinoni","Mbuga","Nyarusange","E108S75",29.6731696492777,-1.78278844125469
"Amajyepfo","Nyaruguru","Ngoma","Kiyonza","Maraba","E108S86",29.6834448755814,-2.75577202251209
"Amajyaruguru","Burera","Kagogo","Kayenzi","Rukoro","E109S70",29.7475529034748,-1.36157259188456
"Amajyepfo","Ruhango","Ruhango","Nyamagana","Kamabano","E109S80",29.7703096053425,-2.24187335184395
"Iburasirazuba","Kayonza","Ruramira","Umubuga","Kabukara","E117S77",30.4974009097415,-1.98511083317695
"Iburengerazuba","Rutsiro","Mukura","Kagano","Cyabatsinga","E106S78",29.4932172927299,-2.02256930744911
"Amajyepfo","Huye","Huye","Sovu","Rwezamenyo","E109S84",29.714533777356,-2.55737710041758
"Amajyaruguru","Burera","Kivuye","Gashanje","Rugarambiro","E110S71",29.8803466784007,-1.41030021745182
"Amajyepfo","Ruhango","Mbuye","Kabuga","Mpungwe","E110S79",29.8714696516558,-2.10742776483927
"Iburasirazuba","Ngoma","Kibungo","Gatonde","Nyagatovu","E118S79",30.5988873973927,-2.11923957255728
"Amajyaruguru","Musanze","Kimonyi","Birira","Mbugayera","E107S72",29.5966521662041,-1.51801160431806
"Amajyepfo","Nyaruguru","Ruramba","Rugogwe","Rugusa","E106S84",29.4872352942037,-2.58917963505263
"Amajyepfo","Ruhango","Mwendo","Nyabibugu","Kiganira","E108S79",29.6283606623708,-2.12767358263888
"Iburasirazuba","Rwamagana","Gahengeri","Kanyangese","Umunini","E115S77",30.3171820745015,-1.93362588499389
"Amajyaruguru","Gicumbi","Rukomo","Kinyami","Kivugiza","E113S73",30.1099284501392,-1.63373177787838
"Amajyepfo","Gisagara","Gikonko","Gasagara","Bibungo","E110S83",29.8044614452639,-2.49048715837361
"Amajyepfo","Muhanga","Kabacuzi","Kavumu","Rukoma","E109S76",29.7385045239196,-1.92108470202151
"Iburengerazuba","Nyabihu","Mukamira","Rurengeri","Kabyaza","E107S73",29.5291106395026,-1.57602328615557
"Iburasirazuba","Bugesera","Rilima","Nyabagendwa","Cyoma","E114S79",30.2273130264472,-2.17636461809985
"Amajyepfo","Kamonyi","Kayenzi","Cubi","Rwishywa","E110S76",29.8262829453105,-1.8835771485849
"Amajyepfo","Kamonyi","Rugarika","Sheli","Sheli","E111S77",29.9479325587358,-2.00662554708132
"Iburasirazuba","Kirehe","Mushikiri","Rwanyamuhanga","Nterere","E118S80",30.5967552054308,-2.22071695362721
"Iburengerazuba","Rubavu","Nyakiriba","Bisizi","Kingoma","E105S74",29.3648026582332,-1.67374782030495
"Iburasirazuba","Bugesera","Rilima","Ntarama","Kagugu","E114S79",30.1912754871347,-2.17149309619439
"Amajyepfo","Nyamagabe","Musebeya","Nyarurambi","Cyabwimba","E106S81",29.4598285924526,-2.3586306374913
"Amajyaruguru","Gicumbi","Kaniga","Gatoma","Kamabare","E113S71",30.0807383109623,-1.40560136457995
"Amajyaruguru","Rulindo","Buyoga","Karama","Cyasenge","E112S74",29.981583531624,-1.71138329630798
"Amajyepfo","Nyaruguru","Muganza","Muganza","Rambyanyana","E106S85",29.4896977862944,-2.69081324373263
"Amajyaruguru","Rulindo","Cyungo","Marembo","Kidomo","E111S73",29.8982809199499,-1.62480952301936
"Amajyepfo","Kamonyi","Kayenzi","Kirwa","Gisizi","E110S76",29.8780596077584,-1.87506037363709
"Amajyepfo","Nyanza","Nyagisozi","Kabirizi","Nyamabuye","E108S81",29.6331621774702,-2.36699509010439
"Amajyaruguru","Rulindo","Murambi","Bubangu","Ruhunga","E112S75",30.019885270619,-1.82908907832086
"Amajyaruguru","Burera","Bungwe","Bungwe","Nyabyondo","E112S72",29.9748711053081,-1.48120213538354
"Amajyepfo","Gisagara","Kigembe","Rubona","Gaharanyonga","E110S86",29.805019133672,-2.75461813316122
"Iburengerazuba","Ngororero","Nyange","Gaseke","Birambo","E108S78",29.6125343799133,-2.05078053175809
"Amajyaruguru","Rulindo","Buyoga","Busoro","Rugarama","E112S74",29.9973442455796,-1.70928640229053
"Iburasirazuba","Ngoma","Kazo","Gahurire","Itambiro","E118S80",30.5269108730759,-2.21097698408986
"Amajyaruguru","Gakenke","Rushashi","Kageyo","Karambi","E110S75",29.8600108080922,-1.75077796848493
"Amajyepfo","Huye","Simbi","Mugobore","Mugobore","E108S83",29.6559197845169,-2.51394455913421
"Iburasirazuba","Nyagatare","Mukama","Bufunda","Bufunda","E115S71",30.2518614729722,-1.43897554320428
"Iburengerazuba","Karongi","Mutuntu","Gasharu","Nyabiguri","E105S80",29.4213922255882,-2.22733338786268
"Iburasirazuba","Kirehe","Gahara","Murehe","Nyamahuna","E118S81",30.5226410351803,-2.37109658678939
"Iburengerazuba","Rubavu","Rugerero","Basa","Tagaza","E104S74",29.3175427456965,-1.68232874732315
"Amajyaruguru","Gicumbi","Rushaki","Gitega","Karambi","E113S72",30.1009515652922,-1.50957221439004
"Amajyepfo","Nyaruguru","Munini","Ngeri","Akagera","E107S85",29.5730537598243,-2.72091127976241
"Amajyepfo","Muhanga","Nyabinoni","Mbuga","Munini","E108S75",29.693433006706,-1.79878274312166
"Iburasirazuba","Kayonza","Murundi","Murundi","Rucaca","E117S74",30.4927891354141,-1.74824673853246
"Amajyepfo","Huye","Kigoma","Kabuga","Kagina","E108S83",29.6198362759143,-2.47749181558851
"Amajyaruguru","Gakenke","Ruli","Busoro","Kibirizi","E110S75",29.8510140695055,-1.79130402700718
"Iburasirazuba","Bugesera","Ngeruka","Nyakayenzi","Heru","E113S81",30.1306259127633,-2.29048351694519
"Amajyaruguru","Rulindo","Base","Gitare","Bushyiga","E111S74",29.9140378839268,-1.66557946778286
"Iburengerazuba","Nyamasheke","Karambi","Gasovu","Kabeza","E103S81",29.2459831997105,-2.33186700738818
"Iburasirazuba","Ngoma","Rurenge","Akagarama","Uruyenzi","E117S79",30.4907841236959,-2.13842386099686
"Amajyaruguru","Rulindo","Mbogo","Rurenge","Gakoma","E111S75",29.952325301745,-1.78328729429025
"Iburasirazuba","Gatsibo","Gatsibo","Mugera","Kayisha","E115S73",30.2720689500616,-1.6083458357774
"Amajyepfo","Nyaruguru","Muganza","Uwacyiza","Bitaba","E106S85",29.4581064479902,-2.65440281044303
"Iburengerazuba","Rutsiro","Mukura","Karambo","Bandamiko","E106S78",29.4369493372579,-2.02204318540945
"Iburasirazuba","Ngoma","Kazo","Umukamba","Akabaya","E117S79",30.4840678399268,-2.17444670487068
"Amajyaruguru","Burera","Cyeru","Ruyange","Burabwa","E110S72",29.8082617792951,-1.49529988004979
"Iburengerazuba","Rutsiro","Musasa","Gabiro","Gabiro","E105S77",29.349144915221,-1.97607832829669
"Iburasirazuba","Ngoma","Sake","Kibonde","Kidakama","E116S80",30.4165614982229,-2.22790021230582
"Amajyaruguru","Gakenke","Ruli","Jango","Kinyonzo","E110S75",29.8352648366469,-1.82499542609611
"Amajyaruguru","Gakenke","Coko","Nyanza","Gitaba","E110S75",29.8329983902911,-1.76856124209299
"Iburasirazuba","Bugesera","Ngeruka","Rutonde","Kabumbwe","E112S81",30.0496386020332,-2.34385392101871
"Iburasirazuba","Bugesera","Rweru","Batima","Ihara","E115S81",30.2680069452806,-2.29635090654525
"Iburengerazuba","Rubavu","Nyamyumba","Busoro","Bugoma","E104S75",29.2860450221639,-1.76329434564907
"Amajyepfo","Kamonyi","Mugina","Jenda","Nyamurenga","E111S79",29.9638130029258,-2.13991890471675
"Iburasirazuba","Gatsibo","Murambi","Murambi","Agasharu","E116S75",30.3599076599778,-1.77617166862556
"Amajyaruguru","Gakenke","Muyongwe","Gisiza","Sanzare","E110S74",29.8757665717059,-1.72385870380152
"Iburasirazuba","Ngoma","Zaza","Ruhembe","Ituze","E117S79",30.4300113900201,-2.17615105380543
"Amajyepfo","Nyamagabe","Kaduha","Kavumu","Gataba","E107S81",29.5295988187285,-2.35475280081299
"Amajyaruguru","Rulindo","Ntarabana","Mahaza","Kamuhororo","E113S75",30.0829180988282,-1.78234690234803
"Iburengerazuba","Karongi","Rwankuba","Gasata","Nyagafumba","E105S79",29.3537960122694,-2.15672717360542
"Amajyaruguru","Rulindo","Cyinzuzi","Budakiranya","Kamatongo","E112S75",30.0401340128867,-1.77288955819529
"Iburasirazuba","Gatsibo","Nyagihanga","Kibare","Bwicaro","E114S73",30.204517317817,-1.56929585637162
"Amajyepfo","Kamonyi","Runda","Kagina","Kamuhoza","E111S76",29.954620660421,-1.90063867533132
"Amajyepfo","Muhanga","Kiyumba","Budende","Musenyi","E110S76",29.7970047903267,-1.85621100953788
"Iburengerazuba","Rusizi","Gashonga","Rusayo","Bitaba","E100S84",28.947148191919,-2.60480495661915
"Iburasirazuba","Kirehe","Kigarama","Kiremera","Irama","E120S81",30.7500877642012,-2.31703337661261
"Amajyaruguru","Rulindo","Ntarabana","Mahaza","Karera","E113S75",30.0986856387426,-1.80281102409222
"Iburengerazuba","Rusizi","Bugarama","Nyange","Rubumba","E101S85",29.0058091145934,-2.68436049139391
"Iburasirazuba","Nyagatare","Katabagemu","Rutoma","Rutoma","E115S71",30.2991521620889,-1.44398745454271
"Amajyepfo","Huye","Kinazi","Sazange","Butare","E109S82",29.7435129210387,-2.39511052056341
"Amajyaruguru","Burera","Nemba","Rubona","Bugarigari","E110S73",29.8735260009134,-1.56815574194955
"Iburengerazuba","Karongi","Murambi","Nyarunyinya","Nyarusave","E107S80",29.5676638318603,-2.20159481892813
"Amajyaruguru","Burera","Gitovu","Mariba","Cyogo","E110S72",29.7924995977555,-1.50416600700828
"Amajyepfo","Gisagara","Gikonko","Mbogo","Nyakabuye","E111S82",29.8899740663111,-2.46645992271862
"Amajyaruguru","Gicumbi","Bwisige","Nyabushingitwa","Gahondo","E113S72",30.1234596211711,-1.53687398765502
"Iburasirazuba","Kirehe","Mahama","Kamombo","Kigongi","E121S80",30.8153050628449,-2.23426689795993
"Amajyepfo","Nyamagabe","Buruhukiro","Kizimyamuriro","Mujerenge","E105S82",29.4149651098444,-2.45531170133465
"Amajyaruguru","Burera","Kinoni","Nkumba","Cyanya","E109S72",29.7182216497593,-1.47860201633938
"Amajyepfo","Gisagara","Gishubi","Nyakibungo","Nkunamo","E111S84",29.9104174684673,-2.56145416226485
"Iburasirazuba","Nyagatare","Matimba","Bwera","Rugaga","E117S68",30.4525912296345,-1.13445925801703
"Amajyepfo","Nyamagabe","Kaduha","Murambi","Rebero","E107S81",29.5610601827273,-2.31892107319242
"Umujyi wa Kigali","Gasabo","Bumbogo","Nyabikenke","Kiriza","E114S76",30.1550221611299,-1.90490302293801
"Amajyepfo","Muhanga","Nyamabuye","Gitarama","Kagitarama","E109S78",29.7633691180836,-2.06576194754455
"Iburasirazuba","Gatsibo","Kiziguro","Ndatemwa","Rubungo","E116S75",30.3711645209624,-1.75598954840647
"Iburengerazuba","Rusizi","Giheke","Gakomeye","Gacyamo","E100S82",28.9648467980727,-2.42877418612921
"Iburasirazuba","Nyagatare","Matimba","Kanyonza","Gakoma","E117S67",30.43012471548,-1.09137219480886
"Amajyepfo","Nyaruguru","Kivu","Kivu","Rubumburi","E106S84",29.4940794862995,-2.6344008352528
"Amajyepfo","Muhanga","Kiyumba","Budende","Ruramba","E110S76",29.8105141357567,-1.86085665097748
"Amajyepfo","Gisagara","Kigembe","Impinga","Nyamirama","E109S85",29.7801511120912,-2.71149559093517
"Amajyaruguru","Gicumbi","Kageyo","Gihembe","Munini","E113S73",30.0829135747582,-1.59284917022018
"Amajyepfo","Kamonyi","Kayenzi","Bugarama","Munyegera","E110S76",29.8600650129433,-1.90873098044969
"Amajyepfo","Nyamagabe","Gatare","Shyeru","Ruhanga","E105S81",29.4170540107613,-2.35146872200684
"Iburasirazuba","Kayonza","Kabare","Rubimba (1)","Bara","E119S78",30.6484086358279,-2.08141369456594
"Iburengerazuba","Nyabihu","Jenda","Kareba","Kamatenge","E106S73",29.4750886849869,-1.59806718959222
"Iburasirazuba","Bugesera","Ngeruka","Gihembe","Kadebu","E113S80",30.1260755474869,-2.25659130439416
"Iburasirazuba","Rwamagana","Karenge","Karenge","Rebero","E115S78",30.2947781406325,-2.08454211234031
"Iburasirazuba","Nyagatare","Karangazi","Kamate","Kamate","E117S70",30.4726369379576,-1.35339334484514
"Iburengerazuba","Rusizi","Butare","Butanda","Gasihe","E102S84",29.0843429453488,-2.56983428171948
"Iburasirazuba","Bugesera","Ruhuha","Gikundamvura","Kanombe","E113S81",30.0810941945333,-2.29676928961746
"Iburasirazuba","Bugesera","Musenyi","Nyagihunika","Kigusa","E112S80",30.0539537960143,-2.20624079400642
"Iburasirazuba","Nyagatare","Rwempasha","Rwempasha","Nyarubare","E115S68",30.3196243992658,-1.20065157829777
"Iburengerazuba","Nyamasheke","Kanjongo","Kibogora","Gataba","E102S81",29.1334527343738,-2.32183668409763
"Amajyaruguru","Gicumbi","Muko","Rebero","Karundi","E114S74",30.2315273846322,-1.69138042141695
"Iburengerazuba","Ngororero","Ndaro","Bitabage","Rwamikeri","E107S77",29.587734529477,-1.99863164743496
"Amajyepfo","Gisagara","Kibirizi","Ruturo","Akabuhuzu","E110S84",29.7957124291212,-2.62133581987229
"Iburasirazuba","Gatsibo","Gatsibo","Mugera","Mugera","E115S73",30.2765738010529,-1.60388199870521
"Amajyepfo","Nyaruguru","Ruramba","Giseke","Kidogo","E106S84",29.5209734569086,-2.57593506033335
"Iburengerazuba","Karongi","Gishyita","Ngoma","Magarama","E104S79",29.2907977592115,-2.17195745490291
"Iburasirazuba","Rwamagana","Muhazi","Karitutu","Kingondo","E117S76",30.4455534096712,-1.92141725386121
"Amajyepfo","Nyanza","Nyagisozi","Kirambi","Jarama","E108S82",29.6467214493961,-2.40098269342132
"Iburasirazuba","Nyagatare","Tabagwe","Gitengure","Gitengure","E115S69",30.276742751996,-1.29039289281981
"Iburengerazuba","Ngororero","Hindiro","Runyinya","Marembo","E107S75",29.601140952794,-1.79111751687799
"Iburasirazuba","Ngoma","Gashanda","Munege","Nyagasenga","E117S79",30.4570652613492,-2.19672903544309
"Amajyepfo","Ruhango","Mwendo","Gishweru","Nyakizu","E108S79",29.6711442399891,-2.14162082536251
"Amajyaruguru","Burera","Butaro","Rusumo","Kamonyi","E110S71",29.8308173932446,-1.40979538698002
"Amajyepfo","Gisagara","Kibirizi","Muyira","Zihare","E109S84",29.791233371533,-2.63258206666236
"Amajyaruguru","Gakenke","Muzo","Kabatezi","Kabatezi","E108S74",29.6709082451503,-1.71957893469548
"Amajyepfo","Ruhango","Kabagali","Rwoga","Kanyinya","E108S80",29.6397114308712,-2.21581242169282
"Amajyepfo","Kamonyi","Mugina","Nteko","Gishari","E112S78",30.0020304434635,-2.07936578807096
"Iburasirazuba","Ngoma","Gashanda","Cyerwa","Ruyema Ii","E117S79",30.4503078697315,-2.19666023710426
"Iburengerazuba","Nyabihu","Mukamira","Rukoma","Gitete","E107S73",29.5291045256036,-1.60987463473142
"Iburasirazuba","Ngoma","Remera","Bugera","Kiyovu","E118S78",30.53802924775,-2.08252024006935
"Amajyepfo","Nyamagabe","Tare","Kaganza","Buremera","E106S83",29.4960697396841,-2.49894262730013
"Amajyaruguru","Burera","Butaro","Nyamicucu","Nyamiyaga","E110S70",29.8556174789961,-1.35590399507886
